i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Absorber,s_Water
930,46.499999999999496,9.75451482860141e-09,0.008117706728208293,6.5453339725740864,7.801324489841071e-13,212.76595744649134,1.7042989609471705e-14,1107.0483864642276,55555.555555555555
940,46.99999999999947,9.754379330314725e-09,0.008117706728208562,6.545334004497145,7.801324527889878e-13,212.76595744648793,1.7042989692594474e-14,1107.0483864642276,55555.555555555555
950,47.49999999999944,9.754250724290263e-09,0.008117706728208824,6.545334036419776,7.801324565938173e-13,212.76595744648452,1.7042989775716117e-14,1107.0483864642276,55555.555555555555
960,47.99999999999941,9.754118753032657e-09,0.00811770672820909,6.545334068341973,7.801324603985952e-13,212.7659574464811,1.7042989858836642e-14,1107.0483864642276,55555.555555555555
970,48.49999999999938,9.753987364221497e-09,0.008117706728209353,6.545334100263747,7.801324642033225e-13,212.7659574464777,1.704298994195605e-14,1107.0483864642276,55555.555555555555
980,48.99999999999935,9.753856752004957e-09,0.008117706728209616,6.545334132185086,7.801324680079982e-13,212.7659574464743,1.704299002507434e-14,1107.0483864642276,55555.555555555555
990,49.499999999999325,9.753724813111154e-09,0.008117706728209884,6.545334164105998,7.801324718126227e-13,212.76595744647088,1.7042990108191507e-14,1107.0483864642276,55555.555555555555
1000,49.9999999999993,9.753593586095908e-09,0.008117706728210149,6.5453341960264755,7.801324756171957e-13,212.76595744646747,1.7042990191307552e-14,1107.0483864642276,55555.555555555555
1010,50.49999999999927,9.753461064761447e-09,0.008117706728210414,6.545334227946524,7.801324794217175e-13,212.76595744646406,1.7042990274422476e-14,1107.0483864642276,55555.555555555555
1020,50.99999999999924,9.753331196787233e-09,0.008117706728210676,6.545334259866146,7.801324832261885e-13,212.76595744646065,1.7042990357536284e-14,1107.0483864642276,55555.555555555555
1030,51.49999999999921,9.753198028296062e-09,0.008117706728210945,6.545334291785334,7.801324870306077e-13,212.76595744645724,1.7042990440648974e-14,1107.0483864642276,55555.555555555555
1040,51.99999999999918,9.75306544225133e-09,0.008117706728211205,6.545334323704095,7.80132490834976e-13,212.76595744645383,1.7042990523760538e-14,1107.0483864642276,55555.555555555555
1050,52.499999999999154,9.752937871702849e-09,0.00811770672821147,6.545334355622423,7.801324946392926e-13,212.76595744645041,1.7042990606870982e-14,1107.0483864642276,55555.555555555555
1060,52.999999999999126,9.752806677057147e-09,0.008117706728211735,6.5453343875403265,7.801324984435588e-13,212.765957446447,1.7042990689980318e-14,1107.0483864642276,55555.555555555555
1070,53.4999999999991,9.75267415573424e-09,0.008117706728211998,6.545334419457797,7.801325022477733e-13,212.7659574464436,1.704299077308853e-14,1107.0483864642276,55555.555555555555
1080,53.99999999999907,9.752542378647895e-09,0.008117706728212264,6.545334451374838,7.801325060519367e-13,212.76595744644018,1.7042990856195624e-14,1107.0483864642276,55555.555555555555
1090,54.49999999999904,9.752411313440074e-09,0.008117706728212529,6.54533448329145,7.801325098560488e-13,212.76595744643677,1.7042990939301596e-14,1107.0483864642276,55555.555555555555
1100,54.99999999999901,9.752278921555066e-09,0.008117706728212794,6.545334515207631,7.801325136601096e-13,212.76595744643336,1.7042991022406452e-14,1107.0483864642276,55555.555555555555
1110,55.499999999998984,9.752147144474495e-09,0.008117706728213056,6.5453345471233835,7.801325174641193e-13,212.76595744642995,1.7042991105510187e-14,1107.0483864642276,55555.555555555555
