i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Structure,s_Water,s_Xenon
5800,57.99999999999703,0.0873609134854994,0.006661852747388744,12560.60848867457,1.4970875897332746e-09,192.76595731543614,2.42816133558502e-10,1960.8941677404896,41666.666666652374,0.003699187945618235
5900,58.99999999999683,0.08738030497166892,0.006662487173282487,13716.17388717961,1.634818386675711e-09,192.76595730304635,2.651804340338404e-10,1960.8941677404896,41666.66666665092,0.003699109566253942
6000,59.99999999999663,0.08739872063431542,0.0066630589127719755,14977.526661957443,1.7851578855222984e-09,192.7659572895169,2.895917020275869e-10,1960.8941677404896,41666.666666649464,0.003699031124420625
6100,60.99999999999643,0.08741624489258197,0.006663573303010782,16354.362095423148,1.9492616582340334e-09,192.7659572747436,3.1623750312734233e-10,1960.8941677404896,41666.666666647405,0.0036989526142513513
6200,61.999999999996234,0.08743295494426463,0.0066640352166480715,17857.26504135324,2.1283913039796386e-09,192.76595725861247,3.4532260917161403e-10,1960.8941677404896,41666.66666664522,0.00369887402934161
6300,62.999999999996035,0.08744892142246599,0.006664449103318804,19497.791642351665,2.3239241889665836e-09,192.765957240999,3.7707057850421754e-10,1960.8941677404896,41666.66666664304,0.0036987953626999906
6400,63.999999999995836,0.08746420899111022,0.0066648190272008846,21288.558563650968,2.5373640821373123e-09,192.76595722176776,4.1172548154419355e-10,1960.8941677404896,41666.66666664086,0.0036987166066943505
6500,64.99999999999635,0.08747887688561186,0.006665148701042772,23243.340435630682,2.770352769255067e-09,192.76595720077037,4.495537850531668e-10,1960.8941677404896,41666.666666637946,0.0036986377529930232
6600,65.99999999999686,0.08749297940449931,0.006665441517018213,25377.176261339027,3.024682735520365e-09,192.7659571778451,4.908464097166322e-10,1960.8941677404896,41666.666666635036,0.0036985587925006265
6700,66.99999999999737,0.08750656635695218,0.006665700574724381,27706.48561512315,3.302311015180869e-09,192.7659571528155,5.359209770043851e-10,1960.8941677404896,41666.66666663202,0.0036984797152879783
6800,67.99999999999788,0.08751968347070462,0.006665928706604367,30249.195534757324,3.605374315689625e-09,192.76595712548868,5.851242627488602e-10,1960.8941677404896,41666.666666628385,0.0036984005105155753
6900,68.9999999999984,0.08753237276428323,0.006666128501044814,33024.87909280622,3.9362055339007895e-09,192.7659570956541,6.388348764900736e-10,1960.8941677404896,41666.66666662475,0.0036983211663500315
7000,69.9999999999989,0.08754467288731398,0.006666302323371204,36054.906724039036,4.297351792647545e-09,192.76595706308208,6.974661873948538e-10,1960.8941677404896,41666.66666662049,0.003698241669872848
7100,70.99999999999942,0.08755661943184014,0.006666452334940693,39362.611485227506,4.691594137908277e-09,192.76595702752178,7.614695194800388e-10,1960.8941677404896,41666.666666616125,0.003698162006980791
7200,71.99999999999993,0.08756824521783924,0.00666658051051077,42973.46953241381,5.121969049729254e-09,192.7659569886993,8.313376409693729e-10,1960.8941677404896,41666.66666661107,0.0036980821622771176
7300,73.00000000000044,0.08757958055528739,0.006666688654043463,46915.29721958474,5.591791934237721e-09,192.76595694631558,9.07608574908712e-10,1960.8941677404896,41666.66666660574,0.003698002118952783
7400,74.00000000000095,0.08759065348532899,0.006666778413088788,51218.466352572024,6.104682779560005e-09,192.7659569000442,9.90869760671855e-10,1960.8941677404896,41666.66666659992,0.003697921858656761
7500,75.00000000000146,0.08760149000258695,0.0066668512918759935,55916.13927396169,6.664594175379703e-09,192.76595684952892,1.0817625987298908e-09,1960.8941677404896,41666.66666659345,0.003697841361354406
7600,76.00000000000198,0.08761211426050654,0.0066669086632287315,61044.52560995534,7.275841914364357e-09,192.7659567943803,1.180987414052034e-09,1960.8941677404896,41666.66666658645,0.0036977606051728155
7700,77.00000000000249,0.08762254876175225,0.0066669517794080806,66643.16267973643,7.943138413904754e-09,192.76595673417387,1.2893088767794738e-09,1960.8941677404896,41666.666666578814,0.0036976795662319365
7800,78.000000000003,0.08763281453495878,0.006666981781977637,72755.22175329755,8.671629218708953e-09,192.76595666844577,1.4075619223917176e-09,1960.8941677404896,41666.66666657048,0.003697598218460181
7900,79.00000000000351,0.08764293129958113,0.006666999710775076,79427.84254638232,9.466932868952537e-09,192.7659565966896,1.5366582174960398e-09,1960.8941677404896,41666.66666656139,0.003697516533393038
8000,80.00000000000402,0.08765291762014489,0.006667006512066456,86712.49856280812,1.0335184445100318e-08,192.76595651835234,1.677593221646097e-09,1960.8941677404896,41666.66666655148,0.0036974344799531713
8100,81.00000000000453,0.08766279105115693,0.006667003045952014,94665.39613675492,1.1283083129396622e-08,192.76595643283036,1.8314539002699487e-09,1960.8941677404896,41666.66666654067,0.003697352024210278
8200,82.00000000000504,0.08767256827391945,0.0066669900930853695,103347.91029258889,1.231794415560429e-08,192.7659563394646,1.9994271488981838e-09,1960.8941677404896,41666.66666652878,0.0036972691291188506
8300,83.00000000000556,0.08768226522628378,0.006666968360762079,112827.06082959195,1.3447755553113924e-08,192.76595623753528,2.182808994470911e-09,1960.8941677404896,41666.66666651591,0.003697185754231781
8400,84.00000000000607,0.08769189722655024,0.006666938488427576,123176.03235594212,1.4681240129324674e-08,192.76595612625678,2.383014645613014e-09,1960.8941677404896,41666.66666650177,0.0036971018553876157
